Student_ID,CGPA,Previous_Semester,Communication_Skills,Technical_Skills,Aptitude_Score,Projects_Completed,Internships,Certifications,Extracurricular_Activities,Backlogs,Soft_Skills,Programming_Skills,College_Tier,Stream,Placement,Package_LPA
STU00001,7.6,7.26,6.0,2.3,49.1,0,0,3,5.5,0,9.7,4.7,2,Electronics,No,0.0
STU00002,6.83,6.68,5.3,2.5,60.8,3,2,3,3.8,1,9.5,5.2,4,Computer Science,No,0.0
STU00003,7.78,7.48,4.2,4.2,53.9,1,3,5,5.2,0,9.7,5.8,1,Electronics,No,0.0
STU00004,8.83,8.89,7.3,6.4,65.7,2,3,5,4.0,0,9.1,6.6,1,IT,Yes,18.0
STU00005,6.72,7.32,2.5,4.9,56.4,2,0,1,6.3,0,10.0,5.3,2,Electronics,No,0.0
STU00006,6.72,6.33,3.8,4.5,47.1,4,3,5,3.0,1,7.2,6.3,1,Computer Science,Yes,17.57
STU00007,8.9,9.4,3.5,4.9,43.4,3,4,4,5.6,0,9.2,7.4,3,Computer Science,Yes,18.0
STU00008,7.92,7.53,8.1,4.7,69.8,4,0,3,3.8,0,9.7,7.5,1,Computer Science,Yes,14.88
STU00009,6.44,6.02,4.2,3.4,60.6,0,2,0,5.1,0,10.0,6.1,2,Mechanical,No,0.0
STU00010,7.65,8.06,8.8,4.5,33.2,0,3,4,2.8,0,10.0,4.8,3,Computer Science,No,0.0
STU00011,6.44,6.9,5.8,3.0,33.0,1,1,4,3.8,0,8.0,4.3,2,IT,No,0.0
STU00012,6.44,6.87,5.2,1.3,69.8,1,1,2,1.9,0,7.0,4.6,2,Computer Science,No,0.0
STU00013,7.29,6.63,4.4,3.0,55.1,1,2,3,2.9,0,8.2,5.2,3,Electronics,No,0.0
STU00014,4.7,4.47,1.6,1.0,31.6,0,0,0,3.9,1,6.3,4.0,2,Mechanical,No,0.0
STU00015,4.93,5.34,4.1,1.0,28.3,0,0,0,1.8,2,7.0,1.4,2,Mechanical,No,0.0
STU00016,6.33,6.35,4.4,4.0,32.3,1,0,2,3.1,2,5.7,3.8,3,IT,No,0.0
STU00017,5.78,5.24,2.0,1.0,37.9,0,2,3,1.6,4,3.7,3.4,3,Mechanical,No,0.0
STU00018,7.38,7.61,3.0,5.3,64.7,2,2,2,2.6,0,7.1,6.6,2,IT,No,0.0
STU00019,5.91,5.55,2.7,3.4,41.1,0,0,2,7.7,0,9.3,5.7,2,Computer Science,No,0.0
STU00020,5.31,6.21,6.4,1.3,43.8,1,0,0,4.8,0,10.0,2.0,3,Computer Science,No,0.0
STU00021,8.76,9.53,9.7,7.3,85.3,2,3,1,4.8,0,10.0,7.5,2,Computer Science,Yes,18.0
STU00022,6.73,7.03,5.1,4.6,40.9,0,2,1,2.0,2,9.0,6.4,4,Mechanical,No,0.0
STU00023,7.08,7.76,5.3,3.7,54.3,1,0,2,2.3,0,7.8,5.3,2,Computer Science,No,0.0
STU00024,5.29,5.32,3.1,1.4,48.4,1,0,1,1.0,0,6.5,4.2,3,Mechanical,No,0.0
STU00025,6.35,6.73,3.1,4.5,33.6,3,1,2,8.1,0,9.1,6.3,4,Civil,No,0.0
STU00026,7.13,7.87,7.2,4.4,53.2,2,3,0,1.8,0,8.2,6.1,3,Mechanical,No,0.0
STU00027,5.62,5.74,6.7,3.6,61.4,1,0,0,1.0,2,7.3,4.3,2,Electronics,No,0.0
STU00028,7.45,7.32,4.0,1.7,49.5,2,2,3,3.9,1,7.8,4.5,2,IT,No,0.0
STU00029,6.28,5.43,4.3,3.3,57.1,0,0,1,1.0,2,5.7,4.1,3,Civil,No,0.0
STU00030,6.65,6.61,4.0,1.7,45.5,0,2,1,3.2,0,7.6,3.7,3,Computer Science,No,0.0
STU00031,6.28,6.69,3.8,3.1,65.8,0,0,1,5.4,2,9.1,5.0,3,Electronics,No,0.0
STU00032,9.22,9.69,8.6,7.5,48.0,1,3,3,6.1,0,10.0,5.7,1,Computer Science,Yes,18.0
STU00033,6.98,7.23,3.0,6.1,50.6,1,2,1,3.8,2,7.6,6.4,3,Electronics,No,0.0
STU00034,5.73,5.46,4.7,1.4,22.1,0,1,1,1.2,0,6.4,4.2,3,Mechanical,No,0.0
STU00035,7.99,7.0,6.9,4.6,49.5,1,2,2,2.8,0,8.5,6.7,2,Computer Science,No,0.0
STU00036,5.53,5.28,3.6,2.1,29.8,0,1,1,1.6,0,6.6,1.7,3,Mechanical,No,0.0
STU00037,7.25,7.1,6.5,3.1,48.8,1,2,2,2.3,0,7.7,3.6,2,Electronics,No,0.0
STU00038,4.65,4.49,3.3,2.4,20.0,1,0,0,1.0,1,7.2,4.7,1,Electronics,No,0.0
STU00039,5.41,5.72,5.6,2.0,36.4,0,1,1,1.7,1,5.2,6.2,3,Computer Science,No,0.0
STU00040,7.24,8.23,2.9,4.4,57.4,1,2,0,5.5,2,7.2,6.4,3,IT,No,0.0
STU00041,7.89,7.95,5.2,5.8,38.7,1,2,4,3.5,0,7.8,5.1,3,Electronics,No,0.0
STU00042,7.21,7.1,5.1,4.2,44.1,1,4,1,4.4,0,9.7,5.4,2,Computer Science,No,0.0
STU00043,6.86,6.73,1.0,2.9,79.4,4,1,2,4.8,0,7.0,5.3,4,Electronics,No,0.0
STU00044,6.64,6.7,3.1,3.5,51.1,1,2,2,5.9,1,7.9,2.9,3,Mechanical,No,0.0
STU00045,5.23,4.82,2.4,1.0,20.0,2,0,0,1.0,0,5.5,3.2,2,Electronics,No,0.0
STU00046,6.14,6.2,5.7,3.1,26.3,1,1,2,3.9,2,9.4,2.2,3,Electronics,No,0.0
STU00047,6.45,6.68,3.5,4.5,48.3,2,1,1,3.2,1,5.9,6.5,3,Computer Science,No,0.0
STU00048,8.27,8.37,4.8,4.1,61.4,5,4,0,8.1,0,9.1,9.7,2,Civil,Yes,18.0
